Stars,Post Title,Person,Date Posted,Date of Experience,Review Text,Link
Rated 1 out of 5 stars,One of the worst airline ever ever,sharam Salih,"Friday, January 26, 2024 at 12:22:25 AM","Date of experience: December 28, 2023","One of the worst airline ever
Shocked with 2 children went to airport. they said you have name in systems but we can offer you seat

There was 42 passengers
Have same issue denied boarding

They were over. Looked sold all the seat for.mkre money an didn't let passengers who bought the ticket with lower price
I don't recommend at all
Hope all airplanes while flying fall off from the sky",https://www.trustpilot.com/review/www.aerlingus.com
Rated 1 out of 5 stars,They need to build stronger aircraft or…,C L,"Monday, January 22, 2024 at 11:36:05 PM","Date of experience: January 21, 2024","They need to build stronger aircraft or something, because the amount of times my flight was canceled and/or delayed for my trip from Dublin to Glasgow was ridiculous. On top of that, their phone service for re-booking was downright awful BS. Workers were hanging up, not giving me correct info, all kinds of crap. Never again with this airline",https://www.trustpilot.com/review/www.aerlingus.com
Rated 1 out of 5 stars,Avoid!! get insulted with customer service,Senhao Zhang,"Sunday, January 21, 2024 at 11:12:17 PM","Date of experience: January 21, 2024","The guy who picked up my was so rude and even insult me with my name provided, last word says that your name clearly not from this destination country and you should go back to your home then hang up. I am going to report this incident to the Irish government. HOW COME A COUNTRY WHO HAS BEEN SUFFERED FOR 800 YEARS STILL DISCRIMINATING OTHERS? TRULY DO NOT UNDERSTAND, AND I AM NOT EVENING GOING TO IRELAND! GOOD JOB AER LINGUS",https://www.trustpilot.com/review/www.aerlingus.com
Rated 4 out of 5 stars,Cancelled flight,John Mc.,"Thursday, January 25, 2024 at 12:52:51 AM","Date of experience: January 07, 2024","I recently had a flight cancellation due to fog where all airlines were cancelling most flights. I waited in the airport for 5.5hrs before being told the flight was cancelled. Not sure why an Aer Lingus flight to the same destination as ours managed to depart, scheduled 1.5hrs after ours? You may think why the 4stars? I managed to get through quickly to AL rebooked a flight for the next day. They said to book a hotel, meals & transport would be covered too. (Nb; 2 different AL personnel advised us that there were no limits on expense claims for hotel/meals/transport, this was incorrect. It is £250 max) I submitted my receipts a few days after getting home. AL confirmed the receipts and stated I would get £240 back. This was in my account within 7 working days! Hence the 4-stars. This type of quick resolution rarely happens with big companies so well done AL!",https://www.trustpilot.com/review/www.aerlingus.com
Rated 1 out of 5 stars,I love travelling with Aer Lingus,Mary Mckeegan,"Friday, January 19, 2024 at 11:18:02 PM","Date of experience: January 19, 2024","I love travelling with Aer Lingus, no problem with their customer service, lovely people BUT I am trying to book return tickets to Dublin for this July. I can book outward flight from London but each time I try to book the two flights back their website keeps showing tickets are gone so I will be driving over on Stenna ferries",https://www.trustpilot.com/review/www.aerlingus.com
Rated 1 out of 5 stars,Terrible customer service.,Paul,"Friday, January 19, 2024 at 08:16:42 PM","Date of experience: January 15, 2024","Refund not issued in agreed time.

Complaint has been ignored.

Rude staff with poor grasp of English that do not know what they are doing. All giving different timescales for same issue.",https://www.trustpilot.com/review/www.aerlingus.com
Rated 1 out of 5 stars,Absolutely appalling,Lisa Rose,"Wednesday, January 24, 2024 at 10:10:49 PM","Date of experience: December 21, 2023","Absolutely appalling - On the 21st December when I logged on to check my son travelling from Salt Lake home, I discovered that his booking had been cancelled. I rang customer service immediately and they said that it had been cancelled, it turns out that a third party who could not possibly have passed the initial security questions was somehow able to ring them and cancel my son's flight. I cannot understand how this could have possibly happened. Customer service were extremely unhelpful and told me that I would have to file a complaint and purchase another ticket for him. As it was Christmas and I felt I had no other option, I booked him on the exact same flights home and had to pay an extra £400 for the privilege and the flights were already extremely expensive given the time of year. On the evening of the 21st I received an email saying they would refund me the flight price and I wrote back to say great, I would also like to received the additional £400 I had to spend. I have heard absolutely nothing from them since. I have rung, whatsapp messaged and telephoned, in total 11 times and I am consistently told that my case has been referred to ""the relevant department"", and it seems I am not allowed to speak with them or contact ""the relevant department"" in any way. I am absolutely appalled with the situation. I literally spend thousands a year with the airline. In future I will give my money to a better company.",https://www.trustpilot.com/review/www.aerlingus.com
Rated 5 out of 5 stars,Gary has been amazing today,Maria M,"Wednesday, January 24, 2024 at 11:51:48 PM","Date of experience: January 24, 2024","Gary has been amazing today! From check in to boarding his customer service has been excellent, thanks Gary - hopefully see you on our next flight.",https://www.trustpilot.com/review/www.aerlingus.com
Rated 1 out of 5 stars,Total joke of a company,Kev Simmons,"Monday, January 22, 2024 at 06:07:13 AM","Date of experience: January 21, 2024","Total joke of a company, treating passengers like crap, no customer service, no help, wouldn't trust em to fly a kite",https://www.trustpilot.com/review/www.aerlingus.com
Rated 1 out of 5 stars,Awful Customer Service,James O'Regan,"Friday, January 19, 2024 at 01:31:20 AM","Date of experience: December 12, 2023",I logged a case with the Aer Lingus Aer Club Assist team on 12th December yet as of today I have received no response.,https://www.trustpilot.com/review/www.aerlingus.com
