Airline Name,Review Link,Number of Reviews
Adria Airways [no longer operating],https://www.tripadvisor.com/Airline_Review-d8728984-Reviews-Adria-Airways-No-Longer-Operating,670 reviews
Advanced Air,https://www.tripadvisor.com/Airline_Review-d17550095-Reviews-Advanced-Air,18 reviews
AEGEAN,https://www.tripadvisor.com/Airline_Review-d8728985-Reviews-AEGEAN,"13,439 reviews"
Aer Lingus,https://www.tripadvisor.com/Airline_Review-d8728986-Reviews-Aer-Lingus,"13,330 reviews"
Aero Mongolia,https://www.tripadvisor.com/Airline_Review-d13804006-Reviews-Aero-Mongolia,18 reviews
Aeroflot,https://www.tripadvisor.com/Airline_Review-d8728987-Reviews-Aeroflot,"20,749 reviews"
Aerogaviota,https://www.tripadvisor.com/Airline_Review-d11831132-Reviews-Aerogaviota,30 reviews
Aerolinea de Antioquia,https://www.tripadvisor.com/Airline_Review-d11831129-Reviews-Aerolinea-De-Antioquia,14 reviews
Aerolineas Argentinas,https://www.tripadvisor.com/Airline_Review-d8728988-Reviews-Aerolineas-Argentinas,"15,372 reviews"
Aeromar,https://www.tripadvisor.com/Airline_Review-d8728874-Reviews-Aeromar,461 reviews
Aeromexico,https://www.tripadvisor.com/Airline_Review-d8728989-Reviews-Aeromexico,"11,443 reviews"
Africa World Airlines,https://www.tripadvisor.com/Airline_Review-d15052985-Reviews-Africa-World-Airlines,60 reviews
African Express Airways,https://www.tripadvisor.com/Airline_Review-d8728990-Reviews-African-Express-Airways,17 reviews
Afriqiyah Airways,https://www.tripadvisor.com/Airline_Review-d8728991-Reviews-Afriqiyah-Airways,11 reviews
Aigle Azur [no longer operating],https://www.tripadvisor.com/Airline_Review-d8728992-Reviews-Aigle-Azur-No-Longer-Operating,743 reviews
Air Algerie,https://www.tripadvisor.com/Airline_Review-d8728993-Reviews-Air-Algerie,611 reviews
Air Antilles,https://www.tripadvisor.com/Airline_Review-d11831112-Reviews-Air-Antilles,321 reviews
Air Arabia,https://www.tripadvisor.com/Airline_Review-d8728994-Reviews-Air-Arabia,"2,746 reviews"
Air Astana,https://www.tripadvisor.com/Airline_Review-d8728936-Reviews-Air-Astana,"1,705 reviews"
Air Austral,https://www.tripadvisor.com/Airline_Review-d8728995-Reviews-Air-Austral,"1,663 reviews"
Air Bagan,https://www.tripadvisor.com/Airline_Review-d10533085-Reviews-Air-Bagan,8 reviews
Air Baltic,https://www.tripadvisor.com/Airline_Review-d8728996-Reviews-Air-Baltic,"15,645 reviews"
Air Belgium,https://www.tripadvisor.com/Airline_Review-d19698651-Reviews-Air-Belgium,93 reviews
air berlin [no longer operating],https://www.tripadvisor.com/Airline_Review-d8729015-Reviews-Air-Berlin-No-Longer-Operating,"4,132 reviews"
Air Botswana,https://www.tripadvisor.com/Airline_Review-d8728997-Reviews-Air-Botswana,128 reviews
Air Burkina,https://www.tripadvisor.com/Airline_Review-d8728875-Reviews-Air-Burkina,29 reviews
Air Busan,https://www.tripadvisor.com/Airline_Review-d10533114-Reviews-Air-Busan,325 reviews
Air Cairo,https://www.tripadvisor.com/Airline_Review-d8728938-Reviews-Air-Cairo,"1,814 reviews"
Air Canada,https://www.tripadvisor.com/Airline_Review-d8728998-Reviews-Air-Canada,"30,141 reviews"
Air Canada Rouge,https://www.tripadvisor.com/Airline_Review-d8808634-Reviews-Air-Canada-Rouge,"7,844 reviews"
Air Caraibes,https://www.tripadvisor.com/Airline_Review-d8728999-Reviews-Air-Caraibes,"3,080 reviews"
Air Century,https://www.tripadvisor.com/Airline_Review-d14190654-Reviews-Air-Century,53 reviews
Air Changan,https://www.tripadvisor.com/Airline_Review-d13803998-Reviews-Air-Changan,1 review
Air Chathams,https://www.tripadvisor.com/Airline_Review-d10816897-Reviews-Air-Chathams,103 reviews
Air China,https://www.tripadvisor.com/Airline_Review-d8729000-Reviews-Air-China,"6,062 reviews"
Air Choice One,https://www.tripadvisor.com/Airline_Review-d11831102-Reviews-Air-Choice-One,128 reviews
Air Corsica,https://www.tripadvisor.com/Airline_Review-d10816886-Reviews-Air-Corsica,690 reviews
Air Costa (no longer operating),https://www.tripadvisor.com/Airline_Review-d10533082-Reviews-Air-Costa-No-Longer-Operating,37 reviews
Air Cote d Ivoire,https://www.tripadvisor.com/Airline_Review-d12665304-Reviews-Air-Cote-D-Ivoire,92 reviews
Air Do,https://www.tripadvisor.com/Airline_Review-d12280238-Reviews-Air-Do,153 reviews
Air Dolomiti,https://www.tripadvisor.com/Airline_Review-d8729001-Reviews-Air-Dolomiti,"1,128 reviews"
Air Europa,https://www.tripadvisor.com/Airline_Review-d8729002-Reviews-Air-Europa,"11,798 reviews"
Air Flamenco,https://www.tripadvisor.com/Airline_Review-d10533083-Reviews-Air-Flamenco,35 reviews
Air France,https://www.tripadvisor.com/Airline_Review-d8729003-Reviews-Air-France,"35,338 reviews"
Air Greenland,https://www.tripadvisor.com/Airline_Review-d8728902-Reviews-Air-Greenland,168 reviews
Air Guilin,https://www.tripadvisor.com/Airline_Review-d13804003-Reviews-Air-Guilin,4 reviews
Air Iceland Connect (**this is not Icelandair**),https://www.tripadvisor.com/Airline_Review-d10533124-Reviews-Air-Iceland-Connect-This-Is-Not-Icelandair,198 reviews
Air India,https://www.tripadvisor.com/Airline_Review-d8729004-Reviews-Air-India,"9,285 reviews"
Air India Express,https://www.tripadvisor.com/Airline_Review-d8729194-Reviews-Air-India-Express,582 reviews
Air Italy [no longer operating],https://www.tripadvisor.com/Airline_Review-d8728886-Reviews-Air-Italy-No-Longer-Operating,"3,793 reviews"
Air Juan,https://www.tripadvisor.com/Airline_Review-d14190680-Reviews-Air-Juan,136 reviews
AIR KBZ (Air Kanbawza),https://www.tripadvisor.com/Airline_Review-d10533084-Reviews-AIR-KBZ-Air-Kanbawza,376 reviews
Air Kiribati,https://www.tripadvisor.com/Airline_Review-d17213155-Reviews-Air-Kiribati,1 review
Air Koryo,https://www.tripadvisor.com/Airline_Review-d8729005-Reviews-Air-Koryo,81 reviews
Air Kyrgyzstan,https://www.tripadvisor.com/Airline_Review-d8728970-Reviews-Air-Kyrgyzstan,6 reviews
Air Macau,https://www.tripadvisor.com/Airline_Review-d12124797-Reviews-Air-Macau,208 reviews
Air Madagascar,https://www.tripadvisor.com/Airline_Review-d8729006-Reviews-Air-Madagascar,399 reviews
Air Malta,https://www.tripadvisor.com/Airline_Review-d8729007-Reviews-Air-Malta,"3,098 reviews"
Air Manas,https://www.tripadvisor.com/Airline_Review-d13804012-Reviews-Air-Manas,16 reviews
Air Mauritius,https://www.tripadvisor.com/Airline_Review-d8729008-Reviews-Air-Mauritius,"2,736 reviews"
Air Mediterranean,https://www.tripadvisor.com/Airline_Review-d13150558-Reviews-Air-Mediterranean,214 reviews
Air Moldova,https://www.tripadvisor.com/Airline_Review-d10823596-Reviews-Air-Moldova,401 reviews
Air Namibia,https://www.tripadvisor.com/Airline_Review-d8729009-Reviews-Air-Namibia,758 reviews
Air New Zealand,https://www.tripadvisor.com/Airline_Review-d8729010-Reviews-Air-New-Zealand,"14,031 reviews"
Air Niugini,https://www.tripadvisor.com/Airline_Review-d8729011-Reviews-Air-Niugini,240 reviews
Air North (Canada),https://www.tripadvisor.com/Airline_Review-d10816875-Reviews-Air-North-Canada,311 reviews
Air Nostrum,https://www.tripadvisor.com/Airline_Review-d11831113-Reviews-Air-Nostrum,495 reviews
Air Panama,https://www.tripadvisor.com/Airline_Review-d11831111-Reviews-Air-Panama,220 reviews
Air Peace,https://www.tripadvisor.com/Airline_Review-d15053196-Reviews-Air-Peace,85 reviews
Air Pegasus (no longer operating),https://www.tripadvisor.com/Airline_Review-d10533092-Reviews-Air-Pegasus-No-Longer-Operating,124 reviews
Air Rarotonga,https://www.tripadvisor.com/Airline_Review-d12280244-Reviews-Air-Rarotonga,56 reviews
Air Saint Pierre,https://www.tripadvisor.com/Airline_Review-d13635954-Reviews-Air-Saint-Pierre,8 reviews
Air Senegal,https://www.tripadvisor.com/Airline_Review-d17213150-Reviews-Air-Senegal,305 reviews
Air Seoul,https://www.tripadvisor.com/Airline_Review-d12280232-Reviews-Air-Seoul,206 reviews
Air Serbia,https://www.tripadvisor.com/Airline_Review-d8729096-Reviews-Air-Serbia,"2,682 reviews"
Air Seychelles,https://www.tripadvisor.com/Airline_Review-d8729012-Reviews-Air-Seychelles,768 reviews
Air Tahiti,https://www.tripadvisor.com/Airline_Review-d10533095-Reviews-Air-Tahiti,376 reviews
Air Tahiti Nui,https://www.tripadvisor.com/Airline_Review-d8729013-Reviews-Air-Tahiti-Nui,"1,726 reviews"
Air Transat,https://www.tripadvisor.com/Airline_Review-d8729014-Reviews-Air-Transat,"12,211 reviews"
Air Vanuatu,https://www.tripadvisor.com/Airline_Review-d8729190-Reviews-Air-Vanuatu,476 reviews
Air VIA [no longer operating],https://www.tripadvisor.com/Airline_Review-d8728947-Reviews-Air-VIA-No-Longer-Operating,85 reviews
Air Zimbabwe,https://www.tripadvisor.com/Airline_Review-d11831119-Reviews-Air-Zimbabwe,69 reviews
AirAsia - AirAsia Berhad (Malaysia),https://www.tripadvisor.com/Airline_Review-d8729220-Reviews-AirAsia-AirAsia-Berhad-Malaysia,"3,717 reviews"
AirAsia - AirAsia India,https://www.tripadvisor.com/Airline_Review-d8728894-Reviews-AirAsia-AirAsia-India,"1,290 reviews"
AirAsia - AirAsia Japan,https://www.tripadvisor.com/Airline_Review-d8728895-Reviews-AirAsia-AirAsia-Japan,95 reviews
AirAsia - AirAsia X Berhad (Malaysia),https://www.tripadvisor.com/Airline_Review-d8728893-Reviews-AirAsia-AirAsia-X-Berhad-Malaysia,"1,844 reviews"
AirAsia - Indonesia AirAsia,https://www.tripadvisor.com/Airline_Review-d8728920-Reviews-AirAsia-Indonesia-AirAsia,"2,609 reviews"
AirAsia - Philippines AirAsia,https://www.tripadvisor.com/Airline_Review-d8728918-Reviews-AirAsia-Philippines-AirAsia,"1,103 reviews"
AirAsia - Thai AirAsia,https://www.tripadvisor.com/Airline_Review-d8728898-Reviews-AirAsia-Thai-AirAsia,"6,405 reviews"
AirAsia - Thai AirAsia X,https://www.tripadvisor.com/Airline_Review-d12280240-Reviews-AirAsia-Thai-AirAsia-X,231 reviews
Airblue,https://www.tripadvisor.com/Airline_Review-d8728892-Reviews-Airblue,104 reviews
Aircalin,https://www.tripadvisor.com/Airline_Review-d8728975-Reviews-Aircalin,436 reviews
AirKenya Express,https://www.tripadvisor.com/Airline_Review-d14190664-Reviews-AirKenya-Express,25 reviews
Airlink,https://www.tripadvisor.com/Airline_Review-d8729016-Reviews-Airlink,539 reviews
Airnorth (Australia),https://www.tripadvisor.com/Airline_Review-d8728876-Reviews-Airnorth-Australia,270 reviews
AirSWIFT,https://www.tripadvisor.com/Airline_Review-d11831124-Reviews-AirSWIFT,447 reviews
Alaska Airlines,https://www.tripadvisor.com/Airline_Review-d8729017-Reviews-Alaska-Airlines,"17,248 reviews"
Alaska Seaplanes,https://www.tripadvisor.com/Airline_Review-d10816877-Reviews-Alaska-Seaplanes,39 reviews
Alba Star,https://www.tripadvisor.com/Airline_Review-d10823587-Reviews-Alba-Star,"1,156 reviews"
Alexandria Airlines,https://www.tripadvisor.com/Airline_Review-d8728966-Reviews-Alexandria-Airlines,3 reviews
Alitalia,https://www.tripadvisor.com/Airline_Review-d8729018-Reviews-Alitalia,"20,359 reviews"
Allegiant Air,https://www.tripadvisor.com/Airline_Review-d8729019-Reviews-Allegiant-Air,"11,427 reviews"
Alliance Airlines,https://www.tripadvisor.com/Airline_Review-d12878327-Reviews-Alliance-Airlines,214 reviews
AlMasria Universal,https://www.tripadvisor.com/Airline_Review-d15053145-Reviews-AlMasria-Universal,270 reviews
ALROSA,https://www.tripadvisor.com/Airline_Review-d13635955-Reviews-ALROSA,16 reviews
Alsie Express,https://www.tripadvisor.com/Airline_Review-d11831130-Reviews-Alsie-Express,31 reviews
Amazonas,https://www.tripadvisor.com/Airline_Review-d10533120-Reviews-Amazonas,257 reviews
