Passenger Name,Review Date,Airline Name,Airline Average Rating,Cabin Flown,Passenger Overall Rating,Overall Value for Money,Seat and Cabin Space,Customer Service,In Flight Entertainment,Baggage Handling,Check-in Process,Meals and Beverages,Recommend Airline,Passenger Review Text
jarrod,"August 9, 2023",Aegean Airlines,6.2,Flew Premium Economy Class,5.0,2,2,3,1,1,1,2,No,This airlines has no way to upgrade tickets at the local offices and/or online even for a fee and the gate agents at the airport are also unwilling or unable to do so even when empty seats exist Food was not up to standard on the flight
Daniel,"July 18, 2023",Aegean Airlines,6.2,Flew Economy Class,1.0,1,3,1,0,1,1,0,No,I was told that the plane was ”completely overbooked” and put on standby and asked if I wanted to take a much later flight and get 250 euro. Even though I booked my ticket 4 months before. Did all the people who got a seat book earlier than that??????????????? I had to wait in panic for the boarding until I got a seat. I was panicing about my luggage and my transfer at the destination. I was given no information at all. I could not check in online the day before. Dreadful experience and I will never fly with Aegean again. Nice way for me to start my vacation! This is no way to treat your paying customers!!!!!!! ?????????
dec,"June 12, 2023",Aegean Airlines,6.2,Flew Economy Class,1.0,0,0,0,0,,,0,Yes,nice
Victor,"May 23, 2023",Aegean Airlines,6.2,Flew Business Class,8.0,5,4,3,2,5,5,3,Yes,"Pretty good Airline. Perfectly digitalised checking, boarding etc. works better than with many big airlines"
Iria,"November 19, 2022",Aegean Airlines,6.2,Flew Economy Class,1.0,2,2,1,1,1,2,1,No,"My carry-on bag has been checked from Athens to Heathrow on 01th October/22 , when I went to pick it up it was very broken, I made a complaint at the airport counter and then at Aegean online and I didn’t get any response about it."
Santosh,"September 30, 2021",Aegean Airlines,6.2,Flew Economy Class,1.0,3,3,2,1,3,1,2,No,"I had a flight booked for BEG-ATH-DOH-AKL. On 14th Sep, Aegean airline issued me a boarding pass and I boarded the flight and upon reaching Athens they told me that I and my 09 year old son cannot board the next flight as our final flight of Qatar airways will be landing at Australia for a technical halt, and we did not have a transit Visa. I was neither aware of this nor it was mentioned in our ticket or boarding pass. Aegean airlines staff handed over us to Greece border police who kept us in detention centre which was a dirty and un hygienic place where refugees are held. No Aegian airline staff contact us after that and didn’t give us drinking water for 2 days. Greece border police deported us back to Belgrade. They never briefed us what is happening and gave us a refusal to entry letter which we never asked for. Denied us even wifi during the period of detention thus we could not contact our family.  The act by the staff towards an International traveler with a minor child was gross violation of passenger charter."
Christos,"August 17, 2020",Aegean Airlines,6.2,Flew Economy Class,4.0,3,4,2,3,1,1,0,No,"Unacceptable behaviour from the “lead” Greek Airlines. I will drop the luggage policy that was changed recently and was not clearly communicated (many people had to pay for laptop bags), and I will jump to covid measures. No distance in the queue, no good organisation on how you enter and go out of the plane and in general I saw people without masks (passengers but still). I chose Aegean and paid the difference to be safer, but I flew with Easyjet the same month and it was way better. Disappointing…"
Chandlor,"April 22, 2020",Aegean Airlines,6.2,Flew Economy Class,1.0,1,0,0,0,,,0,No,"I had a family booking with Aegean over Easter 2020. With the COVID-19 pandemic, the flights were cancelled. This is understandable. What is NOT understandable is that Aegean now refuses to give refunds. This goes against EU commission rules 261/2004. Aegean does not care and completely refused to refund my booking of almost 450 Euro. I feel like I’ve been stolen from. They have offered a voucher, but since 2 of the party where coming from the United States, the whole trip has been cancelled. The credit voucher is useless for them. This is blatantly against the law to not give a refund for a cancelled flight."
Jadson,"February 27, 2020",Aegean Airlines,6.2,Flew Economy Class,1.0,0,3,3,3,,4,4,No,"having any issue with your luggage ?! God save you, they’ll not even help you with your rights."
John,"January 7, 2020",Aegean Airlines,6.2,Flew Business Class,10.0,4,4,4,1,5,5,5,Yes,"Aegean Airlines is by far the best European regional airline. Other big players like Deutsche Lufthansa, KLM or British Airways fall seriously behind in terms of service, commodity and particularly food! High quality seats, fast traveling times, very attentive cabin attendants that try to accommodate every crazy passenger need and superb food put this airline in the forefront of Europe. On the constructive side, the entertainment is poor, there is no wifi connectivity in most flights, and intra-European flights are slightly expensive compared to other airlines."
