Unnamed: 0.1,Unnamed: 0,Query,Link,Status
0,0,aer lingus,https://www.trustpilot.com/review/www.aerlingus.com,Collected
1,1,aeroflot,https://www.trustpilot.com/review/aeroflot.com,Collected
2,2,aerolineas argentinas,https://www.trustpilot.com/review/aerolineas.com.ar,Collected
3,3,aeromexico,https://www.trustpilot.com/review/aeromexico.com,Collected
4,4,aeromexico,https://www.trustpilot.com/review/aeromexico.pro,Collected
5,5,aigle azur,https://www.trustpilot.com/review/www.aigle-azur.com,Collected
6,6,air algerie,https://www.trustpilot.com/review/www.airalgerie.dz,Collected
7,7,air arabia,https://www.trustpilot.com/review/airarabia.com,Collected
8,8,air astana,https://www.trustpilot.com/review/www.airastana.com,Collected
9,9,air austral,https://www.trustpilot.com/review/air-austral.com,Collected
10,10,air cairo,https://www.trustpilot.com/review/www.flyaircairo.com,Collected
11,11,air canada,https://www.trustpilot.com/review/www.aircanada.com,Collected
12,12,air canada,https://www.trustpilot.com/review/www.aircanadavacations.com,Collected
13,13,air canada,https://www.trustpilot.com/review/aircanada.ca,Collected
14,14,air canada,https://www.trustpilot.com/review/air-canada.se,Collected
15,15,air caraibes,https://www.trustpilot.com/review/aircaraibes.com,Collected
16,16,air china,https://www.trustpilot.com/review/airchina.dk,Collected
17,17,air corsica,https://www.trustpilot.com/review/aircorsica.com,Collected
18,18,air dolomiti,https://www.trustpilot.com/review/airdolomiti.it,Collected
19,19,air europa,https://www.trustpilot.com/review/www.aireuropa.com,Collected
20,20,air europa,https://www.trustpilot.com/review/www.air-europa.com,Collected
21,21,air france,https://www.trustpilot.com/review/www.airfrance.fr,Collected
22,22,air france,https://www.trustpilot.com/review/www.airfrance.com,Collected
23,23,air france,https://www.trustpilot.com/review/www.airfrance.dk,Collected
24,24,air france,https://www.trustpilot.com/review/airfrance.se,Collected
25,25,air france,https://www.trustpilot.com/review/airfrance.es,Collected
26,26,air france,https://www.trustpilot.com/review/airfrance.de,Collected
27,27,air france,https://www.trustpilot.com/review/www.airfrance.ie,Collected
28,28,air france,https://www.trustpilot.com/review/airfrance.no,Collected
29,29,air france,https://www.trustpilot.com/review/airfrance.co.uk,Collected
30,30,air france,https://www.trustpilot.com/review/airfrance.be,Collected
31,31,air greenland,https://www.trustpilot.com/review/mail.airgreenland.gl,Collected
32,32,air india,https://www.trustpilot.com/review/airindia.in,Collected
33,33,air india,https://www.trustpilot.com/review/airindia.com,Collected
34,34,air italy,https://www.trustpilot.com/review/www.airitaly.com,Collected
35,35,air malta,https://www.trustpilot.com/review/www.airmalta.com,Collected
36,36,air mauritius,https://www.trustpilot.com/review/www.airmauritius.com,Collected
37,37,air moldova,https://www.trustpilot.com/review/airmoldova.md,Collected
38,38,air namibia,https://www.trustpilot.com/review/www.airnamibia.com,Collected
39,39,air new zealand,https://www.trustpilot.com/review/airnewzealand.com.au,Collected
40,40,air new zealand,https://www.trustpilot.com/review/airnz.co.nz,Collected
41,41,air north,https://www.trustpilot.com/review/flyairnorth.com,Collected
42,42,air nostrum,https://www.trustpilot.com/review/airnostrum.es,Collected
43,43,air rarotonga,https://www.trustpilot.com/review/www.airraro.com,Collected
44,44,air serbia,https://www.trustpilot.com/review/airserbia.com,Collected
45,45,air seychelles,https://www.trustpilot.com/review/www.airseychelles.com,Collected
46,46,air tahiti nui,https://www.trustpilot.com/review/www.airtahitinui.pf,Collected
47,47,air tahiti nui,https://www.trustpilot.com/review/airtahitinui.com,Collected
48,48,air transat,https://www.trustpilot.com/review/airtransat.ca,Collected
49,49,air transat,https://www.trustpilot.com/review/www.airtransat.fr,Collected
50,50,air transat,https://www.trustpilot.com/review/airtransat.com,Collected
51,51,air transat,https://www.trustpilot.com/review/transat.com,Collected
52,52,airblue,https://www.trustpilot.com/review/www.airblue.com,Collected
53,53,aircalin,https://www.trustpilot.com/review/www.aircalin.nc,Collected
54,54,aircalin,https://www.trustpilot.com/review/aircalin.com,Collected
55,55,airlink,https://www.trustpilot.com/review/flyairlink.com,Collected
56,56,airswift,https://www.trustpilot.com/review/www.air-swift.com,Collected
57,57,alaska airlines,https://www.trustpilot.com/review/alaskaair.com,Collected
58,58,alitalia,https://www.trustpilot.com/review/www.alitalia.com,Collected
59,59,alrosa,https://www.trustpilot.com/review/www.alrosa.aero,Collected
60,60,alsie express,https://www.trustpilot.com/review/www.alsieexpress.com,Collected
61,61,alsie express,https://www.trustpilot.com/review/alsieexpress.dk,Collected
62,62,american airlines,https://www.trustpilot.com/review/www.aa.com,Collected
63,63,american airlines,https://www.trustpilot.com/review/americanairlines.co.uk,Collected
64,64,american airlines,https://www.trustpilot.com/review/american-airlines.com,Collected
65,65,american airlines,https://www.trustpilot.com/review/www.usairways.com,Collected
